dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1226937,ocds-dgv273-seacev3-1230810,PE-CONSUCODE-162,LP-ABR-18-2026-MDI/CS-1,2026-06-18T20:36:00-05:00
ocds-dgv273-seacev3-1238056,ocds-dgv273-seacev3-1221492,PE-CONSUCODE-36,LP-ABR-2-2026-GR.CAJ-2,2026-06-02T15:26:00-05:00
ocds-dgv273-seacev3-1226896,ocds-dgv273-seacev3-1243483,PE-CONSUCODE-37,COMPRE-COMPRE-40-2026-GR CUSCO-1,2026-06-18T18:06:00-05:00
ocds-dgv273-seacev3-1231404,ocds-dgv273-seacev3-1245539,PE-CONSUCODE-1703,CP-ABR-1-2026-MPL/CS-2,2026-06-02T15:05:00-05:00
ocds-dgv273-seacev3-2026-1703-9,ocds-dgv273-seacev3-1245539,PE-CONSUCODE-1703,CP-ABR-1-2026-MPL/CS-2,2026-06-02T15:05:00-05:00
ocds-dgv273-seacev3-1223403,ocds-dgv273-seacev3-1233592,PE-CONSUCODE-1875,CP-ABR-4-2026-MDCV-CS-1,2026-06-08T22:17:00-05:00
ocds-dgv273-seacev3-1222469,ocds-dgv273-seacev3-1243858,PE-CONSUCODE-1093,LP-ABR-7-2026-CS/MDS-1,2026-06-04T23:44:00-05:00
ocds-dgv273-seacev3-1246161,ocds-dgv273-seacev3-1225135,PE-CONSUCODE-2347,LP-ABR-5-2026-EMAPA-SM-SA/C-1,2026-06-15T20:11:00-05:00
ocds-dgv273-seacev3-1223876,ocds-dgv273-seacev3-1228592,PE-CONSUCODE-1280,LP-SM-2-2026-MDNA/CS-1,2026-06-10T01:13:00-05:00
ocds-dgv273-seacev3-1227069,ocds-dgv273-seacev3-1245249,PE-CONSUCODE-39,LP-ABR-18-2026-GOB.REG.HVCA/C-1,2026-06-19T12:43:00-05:00
ocds-dgv273-seacev3-1225887,ocds-dgv273-seacev3-1238666,PE-CONSUCODE-1632,LP-SM-1-2026-MDM-CS.-1,2026-06-16T19:37:00-05:00
ocds-dgv273-seacev3-1242917,ocds-dgv273-seacev3-1225522,PE-CONSUCODE-10247,LP-ABR-1-2026-EP/UO 0842-1,2026-06-16T12:29:00-05:00
ocds-dgv273-seacev3-1227683,ocds-dgv273-seacev3-1231755,PE-CONSUCODE-1850,CP-ABR-11-2026-CS/MPJB-1,2026-06-22T18:39:00-05:00
